🌙 (U+1F319)
📝 (U+1F4DD)
🏥 (U+1F3E5)
📍 (U+1F4CD)
❓ (U+2753)
👨 (U+1F468)
— (U+2014)
· (U+00B7)
➡ (U+27A1)
─ (U+2500)
  (U+00A0)
▼ (U+25BC)
💰 (U+1F4B0)
→ (U+2192)
⚕ (U+2695)
🎙 (U+1F399)
🗓 (U+1F5D3)
️ (U+FE0F)
🚧 (U+1F6A7)
🕐 (U+1F550)
📨 (U+1F4E8)
📄 (U+1F4C4)
• (U+2022)
▶ (U+25B6)
👋 (U+1F44B)
– (U+2013)
👥 (U+1F465)
← (U+2190)
⬆ (U+2B06)
‍ (U+200D)
🔄 (U+1F504)
↻ (U+21BB)
🗑 (U+1F5D1)
✎ (U+270E)
ℹ (U+2139)
❌ (U+274C)
⬇ (U+2B07)
⚙ (U+2699)
🚨 (U+1F6A8)
📣 (U+1F4E3)
✉ (U+2709)
👀 (U+1F440)
▲ (U+25B2)
🤖 (U+1F916)
═ (U+2550)
✗ (U+2717)
💾 (U+1F4BE)
✕ (U+2715)
🚫 (U+1F6AB)
− (U+2212)
🔹 (U+1F539)
🎭 (U+1F3AD)
☀ (U+2600)
🔍 (U+1F50D)
